Domain Code,Domain,Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3316","Vitamin B6 apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","1.63","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3316","Vitamin B6 apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","1.65","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3319","Vitamin A apparent intake (retinol equivalents)","6206A","Average","μg/cap/d","447","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3319","Vitamin A apparent intake (retinol equivalents)","62061","Confidence interval: Lower bound","μg/cap/d","441","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3319","Vitamin A apparent intake (retinol equivalents)","62062","Confidence interval: Upper bound","μg/cap/d","453","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3318","Vitamin A apparent intake (retinol activity equivalents)","6206A","Average","μg/cap/d","259","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3318","Vitamin A apparent intake (retinol activity equivalents)","62061","Confidence interval: Lower bound","μg/cap/d","255","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3318","Vitamin A apparent intake (retinol activity equivalents)","62062","Confidence interval: Upper bound","μg/cap/d","262","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10002","Rural","FG0","All food groups","3302","Energy apparent intake","6128A","Average","kcal/cap/d","2113","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10002","Rural","FG0","All food groups","3302","Energy apparent intake","61281","Confidence interval: Lower bound","kcal/cap/d","2100","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10002","Rural","FG0","All food groups","3302","Energy apparent intake","61282","Confidence interval: Upper bound","kcal/cap/d","2126","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
